epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1351.97,0.78914,0.50291,1.07593,0.94418,0.87171,0.93644,0.70597,0.91202,0.53531,1.13153,0.00038375,0.00038375,0.00038375
72,1370.78,0.78587,0.48715,1.06515,0.90559,0.88254,0.93332,0.70886,0.94779,0.5212,1.16574,0.000371375,0.000371375,0.000371375
73,1390.35,0.75946,0.48353,1.04153,0.91207,0.88555,0.94896,0.71207,0.93366,0.51453,1.18001,0.000359,0.000359,0.000359
74,1409.16,0.75349,0.47587,1.05361,0.932,0.88819,0.94943,0.72612,0.93268,0.48821,1.16168,0.000346625,0.000346625,0.000346625
75,1429.03,0.76972,0.47847,1.05799,0.91299,0.85048,0.94191,0.72218,0.93867,0.51843,1.15397,0.00033425,0.00033425,0.00033425
76,1447.89,0.74082,0.46134,1.04133,0.95364,0.8462,0.94288,0.71879,0.91062,0.50262,1.17291,0.000321875,0.000321875,0.000321875
77,1466.97,0.7484,0.47144,1.049,0.89551,0.88343,0.94356,0.70817,0.9501,0.51174,1.17321,0.0003095,0.0003095,0.0003095
78,1485.54,0.73233,0.46138,1.04374,0.93781,0.86289,0.94281,0.72702,0.88698,0.5073,1.14006,0.000297125,0.000297125,0.000297125
79,1505.13,0.72134,0.46289,1.03546,0.91318,0.8836,0.94388,0.72648,0.93338,0.52844,1.22437,0.00028475,0.00028475,0.00028475
80,1523.92,0.7042,0.45043,1.03561,0.90586,0.89408,0.94539,0.72864,0.90736,0.4794,1.17712,0.000272375,0.000272375,0.000272375
81,1543.6,0.70956,0.44904,1.02266,0.92193,0.87028,0.94055,0.72202,0.91623,0.48454,1.17918,0.00026,0.00026,0.00026
82,1562.34,0.72995,0.45557,1.04886,0.95845,0.87661,0.94393,0.71514,0.94395,0.49231,1.16888,0.000247625,0.000247625,0.000247625
83,1581.7,0.71875,0.45133,1.03748,0.91965,0.87613,0.94647,0.72802,0.91119,0.48349,1.16128,0.00023525,0.00023525,0.00023525
84,1600.23,0.69444,0.42924,1.02046,0.93771,0.85618,0.94033,0.71345,0.89956,0.49711,1.16606,0.000222875,0.000222875,0.000222875
